Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,Environment
G31,15.89,18.7828,18.9907,17.4946,18.4215,19.3146,20.4054,17.8364,19.6086,19.3798,19.0776,18.2059,17.1317,18.4555,18.4566,19.6236,18.7045,17.0264,18.4699,17.176,17.5532,18.8527,18.5078,17.7379,17.3541,18.9698,17.9614,18.6347,16.3659,16.1405,18.8523,15.9361,18.1493,17.5355,18.4388,17.8451,17.6285,17.9508,17.2972,18.6221,17.4747,16.2252,17.8356,16.2442,19.1427,17.0385,17.843,16.3508,17.5223,17.0953,17.8069,18.3985,17.7805,18.2053,17.5286,18.2457,18.356,15.6953,18.3006,19.2317,Environment_1
G32,18.655,19.5181,19.2396,19.7133,19.7436,20.2593,17.7277,18.372,16.8758,19.6219,19.6403,19.7648,20.7796,20.2328,18.5168,20.7496,18.3225,18.1954,18.9324,19.1933,18.4919,18.2907,18.6449,19.1901,18.9431,20.254,19.1974,18.7078,19.0058,18.1904,19.2441,17.9042,19.3428,20.1535,18.6771,19.1216,18.4059,17.6674,18.577,19.3276,18.281,17.2132,17.5965,19.5562,18.0301,19.4826,17.5861,18.0331,18.7252,20.0191,20.2748,19.1016,20.492,19.8546,18.9426,19.0232,18.1446,18.4203,19.2711,19.0162,Environment_1
G33,19.1542,18.6628,20.2633,20.746,19.3255,18.6196,16.2848,19.5959,17.4167,19.5929,18.1947,17.8668,19.0239,17.5028,19.381,19.8596,18.7536,20.3943,18.2456,19.1616,17.0476,19.2654,17.458,20.4803,21.016,17.321,19.5372,16.4869,20.1099,18.5885,18.3439,18.9236,17.7085,18.6389,17.6376,19.6359,18.8818,18.457,19.0667,19.5054,19.4571,17.976,16.9178,20.2352,17.6663,19.0985,19.062,19.5456,18.3117,17.5407,18.5856,18.4518,18.2017,19.1052,18.5096,18.017,17.9801,19.9383,18.2198,18.8817,Environment_1
G34,16.4245,17.7185,16.7827,17.1098,17.5955,17.7022,17.1547,15.7077,17.9659,17.8656,17.1752,17.9504,16.9288,16.9411,16.0194,18.2567,17.155,17.9933,18.583,17.8728,18.6877,17.1076,17.6109,17.8911,19.1375,18.3663,14.6551,17.8074,17.9614,17.6897,18.4586,16.2651,17.1565,17.8379,17.2541,15.7263,17.8949,18.9852,16.0981,16.9809,16.742,17.3532,16.4168,16.4129,18.6703,17.4801,16.7236,17.4512,17.181,15.38,17.5503,17.7067,18.1064,18.3295,16.0854,16.7566,17.2769,16.6414,17.371,18.3697,Environment_1
G35,18.7188,17.6013,19.4178,20.2584,18.0195,19.5877,19.114,18.482,20.1943,19.5135,18.8028,18.3097,19.9731,19.9943,18.9321,18.1755,18.2942,19.183,20.2276,18.5583,19.4204,19.6629,20.7656,18.8394,19.1636,18.9415,19.3705,17.5312,16.8071,17.4253,19.8313,19.4601,20.2698,18.2517,18.4996,18.5126,20.1316,19.09,19.3666,19.7887,19.8525,19.8494,19.79,19.2563,19.328,18.2528,18.6015,19.1991,18.1639,19.4469,20.0173,20.8098,19.46,18.1663,17.4845,17.7225,20.4182,20.4334,18.9458,17.3654,Environment_1
G36,18.9787,15.4739,16.6207,16.1829,16.1778,18.3835,17.1799,16.8265,18.1202,18.4747,17.276,17.8695,16.8476,19.2438,18.5148,16.599,14.5726,16.6853,16.6841,16.9162,16.7062,15.5446,16.4585,17.7323,18.4887,18.3996,17.6063,17.1543,15.8543,17.4442,18.068,16.3128,19.7426,16.5649,17.0249,16.9858,18.2148,16.7809,16.8308,16.7685,16.9753,19.0536,16.5887,15.5362,16.8228,17.1091,15.3563,16.2061,17.0392,17.5499,17.3171,16.8716,17.2234,17.5571,18.2577,19.2106,16.5636,16.4388,16.2744,17.7577,Environment_1
G37,18.4683,15.7379,19.9073,17.3542,17.6412,16.6991,18.4775,16.2584,16.091,18.2167,17.8129,17.9006,18.0956,18.1651,19.0157,16.7662,18.7971,17.5839,19.0658,17.622,19.1568,18.733,16.1658,18.5782,16.2209,17.0239,17.7828,18.3669,15.9515,16.7154,17.6282,17.7661,18.0794,16.551,19.6359,17.8837,19.1547,17.286,18.2711,18.2592,17.8916,18.6193,19.1509,18.6521,18.1668,18.6278,16.4465,15.8937,17.4118,17.1385,17.3526,18.6994,18.9058,16.6161,19.722,18.6704,18.8607,19.3735,17.4179,18.9185,Environment_1
G38,16.1348,15.7843,16.7842,15.8606,16.6342,17.5936,19.0663,15.8728,15.774,17.2426,16.5542,17.9968,18.7998,18.5813,18.8867,19.8917,16.1278,18.6836,17.4562,15.9504,18.4456,17.0576,16.2651,16.9817,16.6844,18.3514,17.6789,17.4766,18.3637,15.1801,17.2472,17.3613,16.8365,17.0931,16.4065,19.1815,17.1974,17.6087,18.3328,17.6979,17.7661,19.0115,16.9038,18.3135,17.2302,16.2748,16.2692,16.468,18.2308,16.1821,18.4303,15.8062,17.588,17.0554,17.2833,18.2929,16.0293,17.715,19.1901,15.805,Environment_1
G39,18.7163,17.1122,18.3839,15.1545,17.4576,20.0173,16.9786,17.5452,17.569,16.269,15.9763,17.6822,18.0178,16.6788,18.0281,17.5177,18.7772,19.6914,17.982,18.0473,16.2583,18.6366,17.017,17.9025,19.3807,17.5667,16.9874,16.3255,16.9941,18.0851,18.1401,18.6703,17.6757,18.5235,17.2949,16.9006,17.0812,17.1217,18.0377,17.1576,16.6979,17.5611,17.7828,17.2743,17.2205,16.6068,16.3156,17.2804,17.9813,18.371,17.8137,18.5543,19.0035,18.6961,17.9833,16.9909,18.4191,17.0476,18.1178,18.196,Environment_1
G40,18.2089,17.3148,21.1651,18.81,19.2849,19.9585,19.3946,18.0923,17.3226,18.2635,19.2725,18.6405,18.7822,19.9007,17.8906,19.7821,18.6839,19.0646,16.9086,18.6723,19.7815,20.1353,19.9776,18.8231,19.6176,18.9114,19.8559,18.7404,19.924,19.6023,20.5949,19.1678,18.553,19.7596,19.3034,17.9871,20.2959,18.6143,17.6552,17.4503,18.8747,18.4543,21.789,20.7717,20.1964,19.9434,20.2685,19.0424,20.8894,18.2261,18.8299,17.8996,18.497,19.1137,19.1316,20.3103,18.519,20.4207,19.8321,18.3998,Environment_1
G41,17.607,19.7545,19.5518,17.3455,18.548,19.1892,19.2305,19.4365,19.9197,18.5498,19.9065,19.9735,16.8524,18.7101,17.8235,17.4871,19.3133,18.0382,18.4301,19.0027,16.916,17.7668,19.5533,20.2289,17.0926,20.6653,18.0757,18.966,17.9734,19.2705,17.1055,19.1301,18.8731,18.359,20.0565,18.9694,18.849,18.9324,18.4881,17.8826,18.4225,18.0632,19.012,19.3,17.8331,19.092,17.5553,17.1685,19.2504,18.2446,19.5386,18.6567,19.6827,18.0323,18.691,18.9919,18.1421,19.6662,19.2039,17.654,Environment_1
G42,17.3948,18.123,18.0129,17.1768,17.6132,19.0959,17.56,17.4767,17.4028,18.9853,16.1663,17.0731,17.3055,19.0767,17.4032,16.813,17.9247,15.815,16.8569,18.5775,18.6922,19.5163,18.3093,15.4908,17.9225,17.4591,17.6335,17.8015,18.3061,16.949,17.0007,17.5083,18.7396,18.2708,16.9796,15.3166,17.4856,18.9757,17.9939,18.852,16.4781,15.8405,20.453,16.658,18.0719,16.9426,17.955,18.9221,17.6651,17.5799,17.4901,17.1157,18.4735,17.3333,16.239,17.9824,16.8107,16.8942,19.0166,16.8688,Environment_1
G43,17.3723,17.8736,18.6269,20.4269,19.3913,17.6587,19.8946,16.9323,17.8411,18.8529,18.9432,18.7882,17.0351,16.5881,20.0785,18.4864,18.4362,20.4968,19.3546,18.7997,16.9045,19.2545,17.9916,18.6444,15.5799,18.4656,17.9269,18.8142,18.5632,18.7496,17.7242,16.7839,17.1723,18.4941,19.0742,16.7136,18.6523,19.6385,19.2598,17.4358,19.5819,17.7143,16.9911,19.8411,19.4322,17.4612,18.7746,18.9864,18.7566,16.9813,17.7052,19.0201,18.0702,18.1195,17.5598,18.7423,19.8581,18.9032,19.0775,18.133,Environment_1
G44,15.7026,16.0772,17.1811,16.7788,16.2121,17.0406,16.863,17.1957,16.7092,15.7945,16.5616,16.1663,14.8706,16.4182,16.4245,16.4934,17.3903,17.0793,18.1753,16.3024,18.1396,18.2564,17.8152,16.7223,18.6056,17.1562,16.0737,15.8563,17.6999,15.6706,16.4353,18.5323,16.7844,15.969,17.3793,15.5423,16.9797,16.1598,15.625,16.6966,15.692,16.8486,15.7812,16.7331,17.4735,17.4093,17.9181,16.5266,18.1065,18.018,17.3716,17.358,17.1461,17.403,19.8752,17.0693,18.5428,19.3356,18.0207,16.4943,Environment_1
G45,20.57,19.4198,20.0325,17.1972,19.5436,19.2031,19.9242,20.6979,18.3605,16.789,20.9599,18.1183,17.9346,19.6673,17.8818,19.6456,18.5506,17.3363,18.311,20.337,19.2849,19.102,18.4811,20.0953,19.7009,19.1121,18.6136,20.468,18.5075,17.8586,18.913,19.0571,19.2378,19.6896,20.9869,21.2885,19.5995,21.0938,19.6186,19.9873,20.0167,18.1634,17.3673,20.4261,18.7846,18.2625,18.7249,19.4506,20.428,18.7376,18.1619,17.9767,19.0199,19.7862,16.3987,20.517,19.6219,16.5575,18.153,19.0568,Environment_1
G46,19.4504,20.7632,17.1878,18.2399,19.5142,17.0141,19.5992,18.511,18.7566,20.5267,20.8987,20.7492,18.8491,19.167,19.9194,20.0107,17.3871,18.9016,20.1252,17.5168,16.8065,17.6434,19.2724,16.3402,19.0573,17.2864,18.9156,21.2974,19.5588,18.679,17.2973,18.8358,17.6236,16.6283,19.4844,17.9603,16.9161,19.094,19.1301,18.333,18.2797,20.6848,19.0239,18.1932,17.8844,18.8417,18.9439,20.5326,19.2339,18.1804,19.3187,17.3346,19.6655,19.7014,18.1301,19.4256,17.6491,16.5773,19.5308,18.965,Environment_1
G47,16.8809,19.8118,20.7878,18.6418,17.3491,20.5999,20.3049,19.417,17.9657,20.7888,18.1116,17.7196,17.5536,18.984,19.6596,19.5451,19.35,19.3348,19.1243,19.5657,18.2233,18.0129,17.9513,20.1683,18.1383,19.6412,18.1155,19.5436,20.8009,17.3875,19.5449,19.4733,20.0676,19.0194,17.8608,19.309,21.2186,18.1849,18.2475,20.0157,18.506,18.2021,18.1434,20.5954,17.4483,17.8221,19.5328,19.4048,19.0614,18.8059,17.4808,18.3205,19.6008,18.1432,19.3165,19.5379,17.6289,17.6569,18.7043,17.752,Environment_1
G48,20.5072,17.9714,18.0996,19.4515,18.064,18.0005,17.9063,18.6304,19.1345,18.7034,18.2761,17.7355,18.557,20.4918,19.7307,17.452,18.136,18.2089,18.2137,18.2345,18.2482,18.08,18.078,18.0382,17.8592,16.9491,17.4413,16.7233,18.0698,19.5514,18.0082,18.7917,18.8522,18.345,19.4632,20.0894,20.4946,19.0395,18.4417,18.3023,17.9175,18.5582,17.3911,17.8366,18.4763,18.3748,17.5018,16.5198,18.2244,17.6058,16.1944,17.5719,17.8267,14.9746,18.4211,19.1339,19.348,20.1402,18.7084,15.3693,Environment_1
G49,17.5981,18.2899,18.182,20.0821,18.2215,18.5318,19.0262,17.408,15.5711,17.7123,19.3464,17.7216,16.7885,17.7142,17.9696,18.4701,17.9317,21.0615,17.8522,17.9813,17.9544,20.1405,18.338,19.3891,18.7881,19.0607,20.4126,18.2177,18.9258,19.8972,19.2596,17.0854,17.6169,19.6929,19.0358,18.2419,18.7238,17.6353,18.7303,17.6468,16.7849,17.6475,17.7479,17.3134,17.8397,17.4581,17.5121,18.6017,18.8641,17.89,18.8609,18.2041,18.4789,16.4743,18.1586,16.8174,17.7038,18.3821,19.1679,17.9443,Environment_1
G50,16.2292,16.3766,16.1771,16.1839,15.9955,16.2793,17.5915,16.4767,15.1872,16.9372,16.8559,17.2714,15.261,15.3126,17.2844,15.3455,18.124,17.0338,17.0468,16.6429,18.6914,17.3955,16.449,16.8202,17.0426,16.6782,16.9345,18.063,16.3344,16.3443,14.8095,15.6915,16.9656,16.4169,17.8263,15.1903,16.7114,16.6735,17.7304,15.5976,17.7701,15.738,17.0574,18.3666,18.7955,15.8659,16.3838,16.7888,18.0287,17.1304,15.2952,14.959,17.0439,16.7458,17.5739,16.5315,14.8499,18.1243,17.4011,16.2611,Environment_1
G51,17.9818,18.6048,18.6391,16.912,18.9096,19.0165,17.1934,18.4633,18.4322,17.2791,18.8576,18.3294,18.5814,18.5467,17.8261,18.3487,15.7912,18.1664,18.3876,17.9602,15.3211,18.0801,18.2418,18.3484,17.2207,18.0067,18.2462,19.0017,18.7017,17.5132,19.3967,16.3855,17.2343,20.1577,18.9543,17.6693,18.0011,19.4516,18.469,19.8751,18.3853,17.5558,17.8543,16.3445,17.1882,19.2294,19.063,15.8047,16.1502,18.4728,19.1086,18.1167,16.7162,17.1631,17.5379,16.749,17.3197,17.3551,19.4668,16.3422,Environment_1
G52,17.5531,16.8041,18.2605,19.1361,17.1004,18.7198,18.1056,18.5142,19.0235,16.1861,15.9367,16.6287,18.298,17.8666,16.6213,16.4883,19.1502,17.6379,17.6725,16.3214,18.0345,19.0617,20.0914,19.4301,17.3979,17.9811,16.3938,17.8062,17.7651,17.7701,19.1316,17.4702,16.6323,15.8928,16.0202,18.3186,18.7336,16.7597,17.8328,18.5592,17.0212,19.2776,15.8949,16.5993,18.1945,16.7152,18.3019,16.3641,19.4094,17.6114,18.2611,19.0621,18.1173,18.8179,17.9706,17.2501,15.9217,17.619,17.508,20.0813,Environment_1
G53,19.5146,19.3645,19.4539,18.0706,18.8014,18.0024,18.8679,18.6071,16.4695,17.8015,17.6384,18.4075,19.3746,18.862,17.1092,18.6329,18.1297,18.0728,19.1711,16.4666,17.5454,18.9809,18.3486,19.1277,17.7584,18.0522,19.2488,19.4754,18.0807,18.8718,17.5888,18.302,17.5743,19.4894,19.0244,17.4897,19.3322,18.753,19.6832,17.7394,18.137,18.8211,17.0184,17.5752,18.7964,17.3871,17.696,18.9832,19.456,17.7123,20.5294,19.0708,18.7157,17.7723,18.3917,17.0484,17.1644,19.0567,18.6053,19.4743,Environment_1
G54,18.5262,19.3813,18.2484,18.5434,16.2863,17.8745,18.9817,16.3379,16.4563,19.0974,16.7418,15.4357,18.1785,17.568,15.9456,17.2486,16.6553,15.8984,18.3877,16.9518,18.3243,17.1108,18.8427,17.4015,18.6534,17.3762,16.8822,17.6758,19.0372,18.4211,18.7511,18.3253,16.5472,16.833,17.2569,19.0319,17.7023,18.2983,17.8124,18.52,19.4116,18.5763,16.6432,17.2137,18.9077,16.3145,18.1089,18.136,17.8934,18.0314,17.3548,17.2104,16.5218,17.6647,17.2655,18.3378,16.8322,17.1465,18.3106,18.3236,Environment_1
G55,16.2846,16.1759,16.3903,18.5716,16.5962,18.0246,17.6262,18.7133,18.0154,15.454,16.0629,17.6657,14.6123,16.5516,18.0728,16.5698,18.204,18.4681,16.1487,17.7978,16.2843,15.5988,16.579,18.8392,19.769,17.0711,15.0032,18.8799,17.669,17.7077,16.8127,18.4926,16.3155,17.9403,18.9661,16.6048,17.2959,18.0252,16.7858,17.3269,17.4655,16.6543,17.5443,16.2582,18.1437,15.166,16.2264,16.5273,16.6486,17.2112,17.6108,18.3937,19.1275,16.1918,17.4253,15.9984,17.9775,17.5129,16.844,16.0466,Environment_1
G56,19.6932,18.6565,18.0749,18.8763,19.0817,19.2565,19.7173,18.7471,17.7755,20.2074,19.5374,19.0095,16.831,19.2993,19.0033,19.2757,17.6323,19.1057,18.391,18.4888,19.2811,19.5312,18.6486,18.8937,18.3979,17.3695,18.7165,17.0507,17.2028,18.0643,16.7913,19.1815,19.4529,20.0166,17.5768,17.56,17.0852,17.9276,18.5018,19.4574,17.6081,17.1904,20.1521,17.1817,16.5321,17.5013,20.2009,18.3163,19.2873,17.5904,18.8228,19.6945,16.4255,16.5323,18.0512,19.0232,17.9327,17.4959,18.4124,18.3235,Environment_1
G57,19.6473,19.3828,18.7622,19.9859,19.3874,18.398,20.4942,20.5264,20.4473,18.4527,19.2465,20.0193,19.1789,18.4836,18.163,20.1659,20.9329,18.7199,18.1416,18.6771,20.1924,19.488,19.3813,19.4371,18.4863,18.9048,18.9578,19.8864,20.1275,20.2806,19.4141,20.8813,18.366,17.3139,20.4881,20.1543,19.1881,19.2887,19.2143,19.3868,17.8682,19.9705,19.8971,20.2905,20.3708,19.7998,18.5459,19.3988,21.373,19.0185,19.6252,18.6412,19.3876,18.0611,19.3554,21.0022,19.8383,18.7609,19.1814,18.2351,Environment_1
G58,20.5159,20.6825,19.7592,19.4182,18.8188,18.6961,18.9978,19.0535,18.8337,18.9577,22.0577,19.2771,19.5724,19.7857,19.3045,19.2919,19.42,21.4621,18.7227,18.4738,20.6055,17.5329,18.5352,19.1188,19.7025,19.4785,19.0282,19.8061,19.6206,19.0519,19.6341,17.6127,19.5713,20.8044,20.6748,19.3664,17.6524,21.3154,18.6502,17.7623,20.3338,18.788,20.2773,18.0602,19.1885,20.0664,18.852,17.6378,18.7934,20.5228,20.0843,19.3665,19.7002,20.1877,19.3958,19.1278,18.6702,20.9788,19.6311,18.2122,Environment_1
G59,18.959,20.1557,18.5235,17.2662,21.959,20.5744,19.135,20.1479,16.3155,21.6201,19.8458,18.7779,17.9555,19.6075,17.466,21.2477,19.8832,20.3761,20.1334,19.1342,19.0898,19.6744,20.745,21.5326,19.6258,19.6062,20.8331,19.8289,19.831,19.1928,19.2322,20.7848,17.5986,19.3549,19.25,20.7484,18.9818,19.8853,19.7396,19.9962,18.9895,18.3572,20.8527,18.4507,22.0505,19.7212,19.1068,20.6465,18.9133,18.7797,19.4018,18.4067,16.8582,19.7287,19.7111,18.7152,19.9455,19.1707,20.0897,20.2644,Environment_1
G60,16.4057,16.6376,15.3017,15.3107,17.3667,18.1273,17.363,16.1771,16.4414,16.9914,16.6856,17.1179,17.0363,18.0815,17.077,18.3459,17.9523,16.3874,17.1512,15.3323,16.3398,15.7035,16.5774,15.1733,15.0907,16.6663,18.8411,16.09,15.2393,15.8345,15.3068,16.0482,16.206,17.3515,17.2768,17.3869,15.6178,18.2173,15.1599,16.4451,17.0177,16.9516,16.6354,15.9876,16.731,17.4604,19.6332,16.4067,15.3494,17.5738,18.7769,17.7671,15.3406,17.5916,16.3183,17.1035,17.4987,16.4508,16.4866,16.3222,Environment_1
G61,20.2683,18.0936,20.4681,20.1046,21.4007,19.2618,20.3575,21.3006,19.0026,20.33,19.2046,21.2042,20.7105,19.3309,21.9815,19.6757,20.6071,20.6412,18.4383,17.6753,17.0708,19.4937,20.1282,20.8819,19.8673,20.0662,17.1347,18.7615,21.6469,20.9821,17.9035,18.9419,19.9924,19.7276,20.5013,19.6843,19.635,21.2909,22.1066,19.8626,18.7263,18.6353,18.6381,20.2575,18.4343,19.8127,18.0424,19.7107,21.1626,21.0282,19.796,20.0897,20.4811,18.2772,18.9165,19.9472,19.1053,21.0282,18.865,18.3996,Environment_1
G62,16.4922,16.8444,15.4201,17.3326,18.0302,16.5392,17.2896,16.7686,17.8889,18.1931,19.6535,18.6099,16.7927,17.5988,16.3553,16.97,16.9473,17.4233,17.3892,16.1812,19.2017,16.0613,15.7634,17.5099,17.7888,17.8377,17.3707,17.674,18.3953,18.6146,16.9191,16.5763,17.028,16.5997,17.1858,15.5176,18.0963,18.2106,17.1316,17.3227,16.243,16.8169,14.5872,18.3055,18.5335,16.5816,18.1912,19.4429,17.8194,17.4191,18.019,17.202,15.8379,18.4865,18.0454,16.7616,17.5853,16.529,19.9547,17.2979,Environment_1
G63,17.9297,19.8486,19.1805,19.5399,18.401,18.7508,20.2783,18.0588,17.4533,19.4828,17.947,17.8302,18.2787,17.1391,20.3707,19.1068,18.4937,19.5389,18.6621,18.459,18.3808,19.8167,17.7174,20.7956,19.1112,17.6106,21.3269,19.2387,20.8261,19.1253,19.8637,18.0646,18.1412,18.7545,19.556,18.4078,19.3184,17.1112,16.8389,19.8736,16.9317,16.9113,16.9257,18.8437,18.5092,19.4201,20.1408,19.5068,18.9516,17.6386,19.3367,18.2991,18.7941,18.1989,18.1337,18.7664,18.847,20.0131,17.0823,16.786,Environment_1
G64,18.0762,17.1331,18.7052,19.3031,17.2945,19.8748,18.865,20.2025,21.9547,19.2578,17.964,18.3045,19.6608,18.7503,17.8472,18.9798,19.0274,19.5558,17.8733,20.2636,18.6975,19.1845,18.111,20.0645,16.4128,19.9977,18.2014,17.9533,18.2997,19.8622,18.181,18.1579,17.1281,17.638,19.2988,19.778,19.7591,17.9165,16.1218,17.2254,19.6022,19.0587,18.371,19.5088,18.855,19.0372,20.707,19.2382,16.9084,17.9389,19.8592,18.6877,18.6715,19.1147,20.3874,18.7252,19.1208,17.6007,20.8431,16.9115,Environment_1
G65,18.7913,21.2722,20.3575,17.7296,20.8097,19.1748,20.6495,20.6578,20.4441,19.4164,19.1473,21.6537,18.3367,19.687,20.1736,20.9742,20.5962,19.6499,20.2317,20.4025,19.9449,20.5654,18.2258,20.1276,19.2265,19.5412,18.3102,21.2466,18.796,18.79,18.6242,22.4566,21.3796,20.5385,20.6276,20.5561,20.805,19.0158,20.49,19.5797,18.507,20.4897,21.3936,19.829,19.7844,21.7887,19.8257,22.4799,20.3449,20.9734,19.9564,20.3671,18.7018,19.406,20.2727,20.5307,20.2882,19.4118,21.0254,22.8297,Environment_1
G66,19.8702,17.2519,20.1771,18.6848,20.1281,18.29,18.6549,19.4422,19.6708,17.4463,17.9752,17.9637,16.7477,19.2931,17.0822,18.8306,19.3673,15.9555,18.6791,20.0361,18.505,18.5906,19.9774,17.0988,19.8739,16.9918,19.4473,16.7658,17.03,18.7151,19.577,19.0253,16.3299,18.8245,18.5882,18.0187,18.5731,19.1238,18.8013,18.4527,18.5721,17.4773,17.1031,17.4149,19.1516,19.8803,19.3894,18.1763,18.758,18.5453,18.0771,19.0529,18.4122,17.6905,18.2709,19.0441,19.1079,16.8682,20.1917,19.324,Environment_1
G67,18.0143,16.2799,16.1561,15.027,16.5865,16.0109,16.3103,16.7229,18.5795,16.1525,17.0745,17.6098,16.3163,15.7504,16.5994,15.5717,16.5909,16.1504,14.7441,15.5293,17.0638,15.5122,15.9909,15.1688,16.0132,17.6724,17.0004,15.9618,17.4913,15.9109,16.5675,15.2996,15.0875,15.4408,14.2224,15.2153,18.3291,17.2786,15.5743,16.3774,16.2168,17.5852,18.0008,13.7805,16.4069,16.1851,18.1815,15.2484,16.1839,17.0013,14.6522,16.3394,16.8798,17.1775,15.9872,16.8741,16.3587,15.1517,17.3633,15.6641,Environment_1
G68,21.2335,20.7792,19.0284,17.739,20.8461,20.2749,20.4844,19.4903,20.3445,19.4807,19.8137,21.619,21.2309,19.2613,19.9467,20.4649,19.1885,20.5623,20.36,19.8911,18.7465,19.689,20.4496,19.9088,20.8965,19.6847,20.8127,20.116,19.5414,22.5762,20.1791,17.9091,20.2635,20.3071,17.7641,18.8204,19.0204,17.6769,20.5449,21.7166,19.1468,19.5869,18.4745,20.7227,19.4876,21.5731,21.0049,19.4136,20.4598,19.4177,20.7648,18.701,20.0069,20.616,20.55,19.1353,19.4792,21.4284,18.9604,20.3384,Environment_1
G69,18.4009,20.9542,18.7521,20.1675,19.1021,19.349,21.6953,19.4515,19.6745,17.9207,17.3338,18.9829,20.222,19.4625,19.6673,18.4619,17.9967,18.4063,20.0717,20.6731,19.4316,20.5562,18.4666,20.394,19.2899,18.8165,18.6438,19.2156,20.2857,18.6077,19.2607,18.6183,18.889,19.6044,19.635,18.9872,18.5637,18.3998,18.633,16.9299,18.5519,19.1039,18.7947,17.7853,20.2139,19.7236,19.8481,21.7184,18.069,19.0211,18.7037,19.4565,19.2855,20.1592,19.5552,19.7442,19.3812,17.6331,20.5068,19.651,Environment_1
G70,18.2094,17.1276,17.3029,17.3915,18.2441,18.9047,20.4582,17.6818,18.3689,20.2379,20.4468,19.8889,19.5098,18.1034,17.7949,19.8923,18.4236,20.1251,19.2763,19.2115,19.058,18.1335,20.4544,18.0307,18.3281,21.19,19.2134,21.9054,19.0937,18.8797,19.6096,17.1623,20.6418,17.7669,19.7118,18.7873,20.1883,18.3529,19.2292,17.9551,18.4404,19.4175,18.9984,19.7107,17.3669,17.8678,17.6862,17.6881,19.1236,20.1828,18.8023,18.5167,18.3868,18.509,18.7345,20.1004,17.8679,19.0993,18.0672,17.5846,Environment_1
G71,17.0991,18.4279,17.9159,16.6064,19.1506,19.0179,18.7635,18.2245,17.5071,17.8636,17.4666,18.3344,17.5596,18.9103,18.9559,18.5541,17.7501,18.5799,19.5888,19.7198,18.6674,18.5939,18.0116,17.4533,19.0196,18.4183,17.0878,17.5919,18.015,17.6785,18.1672,18.103,16.9949,20.201,18.8751,19.0144,17.385,16.6533,19.1193,16.885,19.3719,18.976,16.9919,17.615,18.158,17.8059,16.5132,18.1156,17.471,16.1683,16.4975,18.4958,16.6331,17.6578,17.0605,17.9134,17.9699,17.4331,19.0689,18.6273,Environment_1
G72,19.1686,21.1534,19.5421,17.7659,20.3624,21.4347,18.9552,20.1921,19.0511,20.3287,21.3587,21.4078,17.7895,19.0151,19.5333,18.2409,20.6034,20.8895,19.8861,20.2336,21.0134,20.1197,20.4235,20.8037,19.9848,20.2357,19.4152,20.4846,19.7363,18.2302,20.1367,19.4619,17.9652,21.357,19.572,19.0466,18.4043,20.466,20.4761,19.934,17.7926,19.1335,18.9582,20.0797,18.6708,20.1946,20.2156,19.8447,19.1563,20.1193,21.7729,19.9444,19.5556,18.2778,19.4211,19.6325,18.8425,18.7625,19.248,20.3207,Environment_1
G73,19.3065,17.4869,17.9481,17.0981,18.1394,19.0256,16.0008,18.7969,18.3014,16.5875,19.17,18.8907,20.5454,20.0758,18.3871,18.1704,18.7507,19.2551,18.647,17.7968,20.1754,17.9934,19.0055,19.5306,18.4697,17.7341,17.9417,17.4822,18.6146,19.7087,17.3348,17.6103,17.0344,18.3019,18.6785,19.258,16.9163,17.8955,19.4667,18.43,17.9006,17.6991,18.0687,18.9879,20.1226,18.564,17.0085,17.5733,16.9364,17.2256,19.5082,19.3658,20.234,18.7351,18.3329,19.4375,18.2958,18.1628,17.5329,19.0306,Environment_1
G74,19.5079,17.9574,16.7187,18.3551,17.2371,15.8101,16.3984,16.7734,16.7644,18.3661,18.4828,17.5145,18.0106,17.2785,17.6755,18.9014,17.9412,16.475,18.8282,17.9933,18.786,17.9367,17.4002,16.8337,19.0583,18.2126,18.4137,16.6981,19.8557,18.5183,15.7534,18.907,18.1603,18.5423,19.284,16.6653,17.9692,17.7534,17.9437,16.5754,18.0532,17.5148,17.845,17.7047,18.3227,17.4929,18.6888,17.2831,16.0046,16.7616,17.2661,18.9215,19.4382,16.8486,18.7819,17.6844,18.8963,18.2388,19.4913,17.7729,Environment_1
G75,17.5936,16.9444,16.8377,19.0868,17.658,17.2743,17.8302,17.5028,18.796,19.621,18.4318,17.8892,19.5079,17.3485,17.5952,19.8055,18.4049,18.3891,18.0913,19.0113,19.6412,18.3171,18.1611,18.5134,16.7558,17.803,15.4813,19.1272,18.4392,19.5174,18.714,18.1951,18.327,17.2207,17.6048,17.8732,18.4361,19.8062,19.4575,18.018,17.179,20.6258,18.4179,18.167,18.3579,18.2905,17.9493,18.0895,17.0249,18.8008,18.3834,16.8956,17.78,19.366,17.5028,18.6234,18.5069,18.5436,16.6187,19.9344,Environment_1
